"Plot","Year","Veg.Survey","Preserve","Bison","Fire","Dung.per.meter2","YSF","VOR","Thatch.Depth","Vertical","X.Bare","X.Thatch","X.Grass","X.Forb","X.Wood","Restoration.Year","dung.sqrt","Restoration.Age","WallowArea","Wallow.sqrt"
"K55",2021,1,"Kankakee","Bison","Unburned",0.029166667,6,0.23125,0.03375,0.4625,0.00625,0.3625,0.2125,0.409375,0,2002,0.170782514,19,27.23,5.2182372502599
"K55",2021,2,"Kankakee","Bison","Unburned",0.029166667,6,0.325,0.041875,0.5,0.00625,0.31875,0.259375,0.415625,0,2002,0.170782514,19,27.23,5.2182372502599
"K56",2021,1,"Kankakee","Bison","Unburned",0.008333333,6,0.225,0.03625,0.3875,0.025,0.440625,0.1625,0.36875,0.003125,1998,0.091287091,23,0,0
"K56",2021,2,"Kankakee","Bison","Unburned",0.008333333,6,0.3375,0.0375,0.4875,0.053125,0.20625,0.28125,0.45,0.009375,1998,0.091287091,23,0,0
"K56",2021,3,"Kankakee","Bison","Unburned",0.008333333,6,0.4375,0.04875,0.5,0.0125,0.1625,0.35625,0.43125,0.0375,1998,0.091287091,23,0,0
"K57",2021,1,"Kankakee","Bison","Unburned",0.025,6,0.26875,0.04125,0.3875,0.0125,0.3125,0.40625,0.26875,0,1998,0.158113883,23,138.45,11.7664778077384
"K57",2021,2,"Kankakee","Bison","Unburned",0.025,6,0.35625,0.034375,0.475,0.003125,0.334375,0.38125,0.28125,0,1998,0.158113883,23,138.45,11.7664778077384
"K57",2021,3,"Kankakee","Bison","Unburned",0.025,6,0.31875,0.02375,0.54375,0.040625,0.19375,0.509375,0.246875,0.009375,1998,0.158113883,23,138.45,11.7664778077384
"K72",2021,1,"Kankakee","No Bison","Unburned",0,11,0.42,0.051333333,0.46,0.003333333,0.293333333,0.243333333,0.456666667,0,2006,0,15,0,0
"K72",2021,2,"Kankakee","No Bison","Unburned",0,11,0.775,0.0575,1.45,0.003125,0.06875,0.375,0.553125,0,2006,0,15,0,0
"K72",2021,3,"Kankakee","No Bison","Unburned",0,11,0.83125,0.05125,0.7125,0.003125,0.09375,0.3,0.6,0,2006,0,15,0,0
"K77",2021,1,"Kankakee","No Bison","Unburned",0,11,0.29375,0.09125,0.3875,0,0.3625,0.4,0.2375,0,2006,0,15,0,0
"K77",2021,2,"Kankakee","No Bison","Unburned",0,11,0.63125,0.06625,0.73125,0,0.140625,0.503125,0.35625,0,2006,0,15,0,0
"K77",2021,3,"Kankakee","No Bison","Unburned",0,11,0.8375,0.068125,0.78125,0,0.16875,0.528125,0.303125,0,2006,0,15,0,0
"K78",2021,1,"Kankakee","No Bison","Unburned",0,11,0.48125,0.070625,0.51875,0,0.259375,0.43125,0.309375,0,2006,0,15,0,0
"K78",2021,2,"Kankakee","No Bison","Unburned",0,11,0.5625,0.063125,0.5875,0.003125,0.1625,0.49375,0.33125,0,2006,0,15,0,0
"K78",2021,3,"Kankakee","No Bison","Unburned",0,11,0.6875,0.0925,0.64375,0,0.121875,0.465625,0.396875,0,2006,0,15,0,0
"K8",2021,1,"Kankakee","No Bison","Unburned",0,10,0.4375,0.075,0.7375,0,0.515625,0.340625,0.065625,0.078125,2003,0,18,0,0
"K8",2021,2,"Kankakee","No Bison","Unburned",0,10,0.5375,0.08125,0.8125,0,0.2625,0.534375,0.096875,0.10625,2003,0,18,0,0
"K9",2021,1,"Kankakee","No Bison","Unburned",0,10,0.26,0.06,0.406666667,0.023333333,0.586666667,0.25,0.133333333,0.006666667,2003,0,18,0,0
"K9",2021,2,"Kankakee","No Bison","Unburned",0,10,0.25625,0.04625,0.46875,0.053125,0.346875,0.3875,0.165625,0.046875,2003,0,18,0,0
"K9",2021,3,"Kankakee","No Bison","Unburned",0,10,0.3875,0.031875,0.5875,0.075,0.309375,0.39375,0.1375,0.084375,2003,0,18,0,0
"KF10",2021,1,"Kankakee","No Bison","Burned",0,0,0.25625,0,0.375,0.5125,0,0.29375,0.19375,0,2005,0,16,0,0
"KF11",2021,1,"Kankakee","No Bison","Burned",0,0,0.325,0,0.53125,0.521875,0.00625,0.315625,0.15,0.00625,2005,0,16,0,0
"KF12",2021,1,"Kankakee","No Bison","Burned",0,0,0.20625,0.000625,0.44375,0.575,0,0.334375,0.090625,0,2005,0,16,0,0
"KF2",2021,1,"Kankakee","No Bison","Burned",0,0,0.3125,0,0.49375,0.403125,0,0.296875,0.26875,0.028125,2005,0,16,0,0
"KF2",2021,2,"Kankakee","No Bison","Burned",0,0,0.60625,0,0.700625,0.121875,0,0.509375,0.346875,0.021875,2005,0,16,0,0
"KF3",2021,1,"Kankakee","No Bison","Burned",0,0,0.475,0.019375,0.55,0.190625,0.071875,0.59375,0.125,0,2005,0,16,0,0
"KF3",2021,2,"Kankakee","No Bison","Burned",0,0,0.65,0.01375,0.8125,0.065625,0.03125,0.684375,0.190625,0.009375,2005,0,16,0,0
"KF3",2021,3,"Kankakee","No Bison","Burned",0,0,0.76875,0.00125,0.59125,0.03125,0.003125,0.64375,0.16875,0.015625,2005,0,16,0,0
"KF5",2021,1,"Kankakee","No Bison","Burned",0,0,0.30625,0.001875,0.55625,0.30625,0.053125,0.49375,0.140625,0,2005,0,16,0,0
"KF5",2021,2,"Kankakee","No Bison","Burned",0,0,0.46875,0.00125,0.63125,0.103125,0.003125,0.715625,0.16875,0,2005,0,16,0,0
"KF8",2021,1,"Kankakee","No Bison","Burned",0,0,0.3375,0.01375,0.45625,0.365625,0.040625,0.275,0.25,0,2005,0,16,0,0
"KF8",2021,2,"Kankakee","No Bison","Burned",0,0,0.53125,0.00875,0.65,0.11875,0.034375,0.4625,0.26875,0,2005,0,16,0,0
"LN",2021,1,"Nachusa","Bison","Burned",0.014583333,0,0.39375,0.000625,0.4125,0.1375,0.00625,0.10625,0.75,0,2011,0.120761472,10,52.17,7.22288031189774
"LN",2021,2,"Nachusa","Bison","Burned",0.014583333,0,0.707142857,0.001428571,0.664285714,0.032142857,0.003571429,0.114285714,0.842857143,0.007142857,2011,0.120761472,10,52.17,7.22288031189774
"SB",2021,1,"Nachusa","No Bison","Burned",0,0,0.2875,0.030625,0.375,0.009375,0.18125,0.271875,0.5375,0,2009,0,12,0,0
"SB",2021,2,"Nachusa","No Bison","Burned",0,0,0.45,0.079375,0.525,0.003125,0.1875,0.25625,0.553125,0,2009,0,12,0,0
"SB",2021,3,"Nachusa","No Bison","Burned",0,0,0.475,0.0675,0.6375,0,0.203125,0.240625,0.55625,0,2009,0,12,0,0
"SF",2021,1,"Nachusa","No Bison","Burned",0,0,0.59375,0.005625,0.74375,0.0875,0.040625,0.35,0.475,0.046875,2001,0,20,0,0
"SF",2021,2,"Nachusa","No Bison","Burned",0,0,0.83125,0.023125,0.95,0.096875,0.01875,0.378125,0.475,0.03125,2001,0,20,0,0
"SF",2021,3,"Nachusa","No Bison","Burned",0,0,0.9625,0.01125,1.075,0.025,0.00625,0.471875,0.490625,0.00625,2001,0,20,0,0
"TCR",2021,2,"Nachusa","No Bison","Burned",0,0,0.366666667,0.037333333,0.56,0.053333333,0.196666667,0.47,0.273333333,0.006666667,1963,0,58,0,0
"TCR",2021,3,"Nachusa","No Bison","Burned",0,0,0.40625,0.04625,0.60625,0,0.140625,0.3875,0.43125,0.034375,1963,0,58,0,0
"TCS",2021,2,"Nachusa","No Bison","Burned",0,0,0.425,0,0.56875,0.1125,0,0.371875,0.515625,0,2002,0,19,0,0
"TCS",2021,3,"Nachusa","No Bison","Burned",0,0,0.54375,0,0.6125,0.109375,0,0.365625,0.45,0.075,2002,0,19,0,0
